name	asciiname	cc	admin1	0
Al Maḩallah al Kubrá	Al Mahallah al Kubra	EG	05	28
Akola		IN	16	28
Azcapotzalco		MX	09	28
Ado-Ekiti		NG	54	28
Akure		NG	48	28
Asyūţ	Asyut	EG	17	28
Al Manşūrah	Al Mansurah	EG	01	28
Atlanta		US	GA	28
Auckland		NZ	E7	27
Ardabīl	Ardabil	IR	32	27
Al Ain		AE	01	27
An Nāşirīyah	An Nasiriyah	IQ	09	26
Al Hoceïma	Al Hoceima	MA	58	26
Abomey-Calavi		BJ	09	25
Abadan		IR	15	24
Ahmadnagar		IN	16	24
Arlington		US	TX	24
Al Qadarif		SD	39	24
Ataşehir	Atasehir	TR	34	24
Anqing		CN	01	23
Asahikawa		JP	12	23
Arkhangel’sk	Arkhangel'sk	RU	06	23
Ambon		ID	28	23
Apodaca		MX	19	23
Anshun		CN	18	23
Astana		KZ	05	23
Arusha		TZ	26	22
Ambattūr	Ambattur	IN	25	22
Aksu		CN	13	22
Anaheim		US	CA	22
Alicante		ES	60	22
Akitashi		JP	02	21
Aurora		US	CO	21
Al ‘Amārah	Al `Amarah	IQ	14	21
Akita		JP	02	21
Anápolis	Anapolis	BR	29	21
Ad Dīwānīyah	Ad Diwaniyah	IQ	04	21
Andijon		UZ	01	21
Armenia		CO	23	21
Al Kūt	Al Kut	IQ	16	21
Antofagasta		CL	03	20
Al Fayyūm	Al Fayyum	EG	04	20
Angeles City		PH	03	19
Aomorishi		JP	03	19
Akashi		JP	13	19
Al Hufūf	Al Hufuf	SA	06	19
Anchorage		US	AK	19
Al Mubarraz		SA	06	19
Al Ḩillah	Al Hillah	IQ	06	19
Adapazarı	Adapazari	TR	54	19
Alto Barinas		VE	05	18
Alwar		IN	24	18
Ar Rayyān	Ar Rayyan	QA	06	18
Aizawl		IN	31	17
Aachen		DE	07	17
Aqtöbe	Aqtobe	KZ	04	17
Aral		CN	13	17
Augsburg		DE	02	17
Al Mukallā	Al Mukalla	YE	04	17
Altona		DE	04	16
Āvadi	Avadi	IN	25	16
A Coruña	A Coruna	ES	58	16
Angarsk		RU	20	16
Aswan		EG	16	16
Anantapur		IN	02	16
Århus	Arhus	DK	18	15
Al Jubayl		SA	06	15
Atsugi		JP	19	15
Al Minyā	Al Minya	EG	10	15
Ajman		AE	02	15
Ashdod		IL	01	14
Adıyaman	Adiyaman	TR	02	14
Arrah		IN	34	14
Ageoshimo		JP	34	14
Amarnāth	Amarnath	IN	16	14
Alor Setar		MY	02	14
Abha		SA	11	14
Arroyo Naranjo		CU	02	14
Arroyo Naranjo		CU	02	14
Antakya		TR	31	14
Arlington		US	VA	13
Annaba		DZ	37	13
Alcalá de Henares	Alcala de Henares	ES	29	13
Agartala		IN	26	13
Achiaman		GH	01	13
Al Khums		LY	82	13
Az Zāwīyah	Az Zawiyah	LY	68	13
Armavir		RU	38	13
Āmol	Amol	IR	35	13
Akron		US	OH	13
Aurora		US	IL	13
Americana		BR	27	13
Amarillo		US	TX	12
Al Fallūjah	Al Fallujah	IQ	01	12
Almería	Almeria	ES	51	12
Antsirabe		MG	7670854	12
Ad-Damazin		SD	42	12
Arica		CL	16	12
Aberdeen		GB	SCT	12
Anda		CN	08	12
Atyrau		KZ	06	12
Amadora		PT	14	11
Anjō	Anjo	JP	01	11
Ar Raqqah		SY	04	11
Alleppey		IN	13	11
Almere Stad		NL	16	11
Amroha		IN	36	11
Araçatuba	Aracatuba	BR	27	11
Albacete		ES	54	11
Arad		RO	02	11
Araraquara		BR	27	11
Angers		FR	52	11
Alcorcón	Alcorcon	ES	29	11
Awka		NG	25	11
Abakan		RU	31	11
Arapiraca		BR	02	11
Ādoni	Adoni	IN	02	10
Aydın	Aydin	TR	09	10
Anbu		CN	30	10
Ashikaga		JP	38	10
Admiralteisky		RU	66	10
Ambato		EC	19	10
Alandur		IN	25	10
Angra dos Reis		BR	21	10
As Samawah		IQ	03	10
Aksaray		TR	75	10
Abbotsford		CA	02	10
Arganzuela		ES	29	9
Astanajapura		ID	30	9
As Sālimīyah	As Salimiyah	KW	08	9
Aktau		KZ	09	9
Aix-en-Provence		FR	93	9
Ambāla	Ambala	IN	10	9
Afyonkarahisar		TR	03	9
Acheng		CN	08	9
Acarigua		VE	18	9
Amiens		FR	32	9
Arnhem		NL	03	9
Al’met’yevsk	Al'met'yevsk	RU	73	9
Ayacucho		PE	05	9
Alexandria		US	VA	9
Amersfoort		NL	09	9
Altay		CN	13	9
Ānand	Anand	IN	09	9
Apeldoorn		NL	03	9
Ajdabiya		LY	83	8
Adiwerna		ID	07	8
Abakaliki		NG	53	8
Ankang		CN	26	8
Abiko		JP	04	8
Al Bāb	Al Bab	SY	09	8
Abohar		IN	23	8
Acilia-Castel Fusano-Ostia Antica		IT	07	8
Andong		KR	14	8
Arish		EG	27	8
Al Manāqil	Al Manaqil	SD	38	8
Asaka		JP	34	8
Amaigbo		NG	45	8
Angren		UZ	14	8
Anmore		CA	02	8
Al Jadīd	Al Jadid	LY	75	8
Agadez		NE	01	8
Alagoinhas		BR	05	8
Az Zubayr		IQ	02	8
Amherst		US	NY	8
Aalborg		DK	19	8
Abbottābād	Abbottabad	PK	03	8
Aïn Oussera	Ain Oussera	DZ	22	7
Ādilābād	Adilabad	IN	40	7
Allentown		US	PA	7
Achinsk		RU	91	7
Anaco		VE	02	7
Abilene		US	TX	7
Athens		US	GA	7
Azamgarh		IN	36	7
Ahmadpur East		PK	04	7
Algeciras		ES	51	7
Alchevs’k	Alchevs'k	UA	14	7
Ann Arbor		US	MI	7
Alanya		TR	07	7
Apopa		SV	10	7
Ashoknagar Kalyangarh		IN	28	7
Araucária	Araucaria	BR	18	7
Achalpur		IN	16	7
Atibaia		BR	27	7
Ambur		IN	25	7
Araruama		BR	21	7
Arzamas		RU	51	7
An Nuhūd	An Nuhud	SD	62	7
Atbara		SD	53	7
Alcobendas		ES	29	7
Araras		BR	27	7
As Suwayq		OM	11	7
Apucarana		BR	18	7
Al Ḩawāmidīyah	Al Hawamidiyah	EG	08	7
Arvada		US	CO	7
Ashqelon		IL	01	7
Arjawinangun		ID	30	7
Aïn Beïda	Ain Beida	DZ	29	7
Azare		NG	46	7
Anqiu		CN	25	7
Araguaína	Araguaina	BR	31	7
Al Fāw	Al Faw	IQ	02	6
Abengourou		CI	85	6
Akademicheskoe		RU	42	6
Antioch		US	CA	6
Artëm	Artem	RU	59	6
Assis		BR	27	6
Argenteuil		FR	11	6
Abū Kabīr	Abu Kabir	EG	14	6
Anyama		CI	82	6
Airoli		IN	16	6
Alamar		CU	02	6
Amreli		IN	09	6
Akhmīm	Akhmim	EG	24	6
Al Maţarīyah	Al Matariyah	EG	01	6
Acharnés	Acharnes	GR	ESYE31	6
Apatzingán	Apatzingan	MX	16	6
Andria		IT	13	6
Akbarābād	Akbarabad	IR	07	6
Al Qaţīf	Al Qatif	SA	06	6
Albany		US	NY	6
Asan		KR	17	6
Ariana		TN	38	6
Arapongas		BR	18	6
Al Muharraq		BH	15	6
Amalner		IN	16	6
Azimpur		BD	81	6
Araguari		BR	15	6
Aurangābād	Aurangabad	IN	34	6
As Safīrah	As Safirah	SY	09	6
Aqaba		JO	21	6
As Salamīyah	As Salamiyah	SY	10	6
Alkmaar		NL	07	6
Ahar		IR	33	6
Al Hārithah	Al Harithah	IQ	02	6
Arden-Arcade		US	CA	6
Ağrı	Agri	TR	04	6
Alīgūdarz	Aligudarz	IR	23	6
Ajax		CA	08	6
Ancona		IT	10	5
Avignon		FR	93	5
Almirante Tamandaré	Almirante Tamandare	BR	18	5
Ashiya		JP	13	5
Alaghsas		NE	01	5
Al Bāḩah	Al Bahah	SA	02	5
Arayat		PH	03	5
Ath Thawrah		SY	04	5
Ārifwāla	Arifwala	PK	04	5
Alegrete		BR	23	5
Angono		PH	40	5
Ad Douiem		SD	41	5
Akot		IN	16	5
Asnières-sur-Seine	Asnieres-sur-Seine	FR	11	5
Al Farwānīyah	Al Farwaniyah	KW	07	5
Apartadó	Apartado	CO	02	5
Atlixco		MX	21	5
Attock City		PK	04	5
Aruppukkottai		IN	25	5
Al Marj		LY	66	5
Amsterdam-Zuidoost		NL	07	5
Aflou		DZ	25	5
Akhisar		TR	45	5
Ambarawa		ID	07	5
Anakāpalle	Anakapalle	IN	02	5
Allen		US	TX	5
Avilés	Aviles	ES	34	5
Asheville		US	NC	5
Alhambra		US	CA	5
Antsiranana		MG	7670842	5
Amasya		TR	05	5
Ash Shaţrah	Ash Shatrah	IQ	09	5
Algorta		ES	59	5
Araxá	Araxa	BR	15	5
Anzhero-Sudzhensk		RU	29	5
Ashmūn	Ashmun	EG	09	5
Abomey		BJ	18	5
Azov		RU	61	5
Abreu e Lima		BR	30	5
Agboville		CI	74	5
Ar Rass		SA	08	5
Al Ḩasakah	Al Hasakah	SY	01	5
Avaré	Avare	BR	27	5
Atakpamé	Atakpame	TG	25	5
Aulnay-sous-Bois		FR	11	5
Artemivs’k	Artemivs'k	UA	05	5
As Salţ	As Salt	JO	02	5
Anantnag		IN	12	5
Amstelveen		NL	07	5
Ar Rifā‘	Ar Rifa'	BH	17	5
Arakkonam		IN	25	5
Agulu		NG	25	5
Arona		ES	53	5
Al Ḩayy	Al Hayy	IQ	16	5
Alafaya		US	FL	5
Abaetetuba		BR	16	5
Alekseyevka		RU	47	5
Aalst		BE	VLG	5
Albany		US	GA	5
Apalit		PH	03	5
Amozoc de Mota		MX	21	5
Arraiján	Arraijan	PA	08	5
Arnsberg		DE	07	5
Antibes		FR	93	5
Arezzo		IT	16	5
Avondale		US	AZ	5
Azzaba		DZ	31	5
Arlington Heights		US	IL	5
Ar Ramthā	Ar Ramtha	JO	18	4
Alvand		IR	36	4
Ankleshwar		IN	09	4
António Enes	Antonio Enes	MZ	06	4
Al Bayḑā’	Al Bayda'	LY	63	4
Asbest		RU	71	4
Aylesbury		GB	ENG	4
Aramoko-Ekiti		NG	54	4
Abéché	Abeche	TD	12	4
Ambājogāi	Ambajogai	IN	16	4
Alameda		US	CA	4
Aku		NG	47	4
Al Buraymī	Al Buraymi	OM	10	4
Asaba		NG	36	4
Aguachica		CO	10	4
Araure		VE	18	4
Ambikāpur	Ambikapur	IN	37	4
Almelo		NL	15	4
Appleton		US	WI	4
Aïn Touta	Ain Touta	DZ	03	4
Ash Shafā	Ash Shafa	SA	14	4
Arujá	Aruja	BR	27	4
Afikpo		NG	53	4
Amatitlán	Amatitlan	GT	07	4
Apomu		NG	42	4
Alfenas		BR	15	4
Agios Dimitrios		GR	ESYE31	4
Abū Tīj	Abu Tij	EG	17	4
Anlu		CN	12	4
Aubervilliers		FR	11	4
Altamira		BR	16	4
Alytus		LT	56	4
Antanifotsy		MG	7670854	4
Auraiya		IN	36	4
Alphen aan den Rijn		NL	11	4
Adler		RU	38	4
Auburn		US	WA	4
Alcalá de Guadaira	Alcala de Guadaira	ES	51	4
Aigáleo	Aigaleo	GR	ESYE31	4
Abhar		IR	36	4
Ārba Minch’	Arba Minch'	ET	54	4
Arauca		CO	03	4
Anseong		KR	13	4
Apple Valley		US	CA	4
Abnūb	Abnub	EG	17	4
Aschaffenburg		DE	02	4
Agua Prieta		MX	26	4
Aïn Fakroun	Ain Fakroun	DZ	29	4
Al Qūşīyah	Al Qusiyah	EG	17	4
Al Jamālīyah	Al Jamaliyah	EG	01	4
Al Faḩāḩīl	Al Fahahil	KW	04	4
Attili		IN	02	4
Artemisa		CU	AR	4
Ardeşen	Ardesen	TR	53	4
Altamura		IT	13	4
Al Khārijah	Al Kharijah	EG	13	4
Agbor		NG	36	4
Al Manzilah		EG	01	4
Arāria	Araria	IN	34	4
Aalen		DE	01	4
Anjār	Anjar	IN	09	4
Aleksin		RU	76	4
Ambovombe		MG	7670911	4
Akbou		DZ	18	4
Alba Iulia		RO	01	4
Atascocita		US	TX	4
Al Marsá	Al Marsa	TN	36	4
Afgooye		SO	14	4
Aquiraz		BR	06	4
Ādīgrat	Adigrat	ET	53	4
Ashoknagar		IN	35	4
Ahlat		TR	13	4
Akşehir	Aksehir	TR	71	4
Alessandria		IT	12	4
Aleksandrov		RU	83	4
Awsīm	Awsim	EG	08	4
Al Fashn		EG	18	4
Aïn Sefra	Ain Sefra	DZ	49	4
Auchi		NG	37	4
Ārani	Arani	IN	25	4
Ashford		GB	ENG	4
Afragola		IT	04	4
Al Khānkah	Al Khankah	EG	12	4
Al Fujayrah		AE	04	4
Armadale		AU	08	4
Abepura		ID	36	4
Assen		NL	01	4
Adzopé	Adzope	CI	82	4
Al Qurayn		EG	14	4
Antratsyt		UA	14	4
Alcoy		ES	60	4
Aldershot		GB	ENG	4
Asti		IT	12	4
Apatity		RU	49	4
Abū Qurqāş	Abu Qurqas	EG	10	4
Al Manshāh	Al Manshah	EG	24	4
Anuradhapura		LK	30	4
Al Mithnab		SA	08	4
Arāmbāgh	Arambagh	IN	28	4
Akim Oda		GH	05	4
Adelaide Hills		AU	05	4
Atlantis		ZA	11	4
Antony		FR	11	3
Agía Paraskeví	Agia Paraskevi	GR	ESYE31	3
Asadābād	Asadabad	IR	09	3
Azua		DO	01	3
Arrecife		ES	53	3
As Suwaydā’	As Suwayda'	SY	05	3
Ames		US	IA	3
Ardakān	Ardakan	IR	40	3
Attur		IN	25	3
Arsen’yev	Arsen'yev	RU	59	3
Aracruz		BR	08	3
Ar Rumaythīyah	Ar Rumaythiyah	KW	08	3
Ariquemes		BR	24	3
Anxiang		CN	11	3
Ash Shāmīyah	Ash Shamiyah	IQ	04	3
Ālbū Kamāl	Albu Kamal	SY	07	3
Alpharetta		US	GA	3
Al Hindīyah	Al Hindiyah	IQ	12	3
Aïn Temouchent	Ain Temouchent	DZ	36	3
Arcoverde		BR	30	3
Anamur		TR	32	3
Ābādeh	Abadeh	IR	07	3
Ávila	Avila	ES	55	3
Asaka		UZ	01	3
Arcadia		US	CA	3
Al Qanāţir al Khayrīyah	Al Qanatir al Khayriyah	EG	12	3
Acámbaro	Acambaro	MX	11	3
Anderson		US	IN	3
Ambilobe		MG	7670842	3
Arua		UG	N	3
At Tall		SY	08	3
Amuntai		ID	12	3
Anan		JP	39	3
Anjiang		CN	11	3
Ahlen		DE	07	3
Ābyek	Abyek	IR	34	3
Abancay		PE	03	3
Anjangaon		IN	16	3
Altamira		MX	28	3
Al Khafjī	Al Khafji	SA	06	3
Al Mayādīn	Al Mayadin	SY	07	3
Ad Dawādimī	Ad Dawadimi	SA	10	3
Ajaccio		FR	94	3
Allapattah		US	FL	3
Aveiro		PT	02	3
Aranjuez		ES	29	3
Altuf’yevskiy	Altuf'yevskiy	RU	48	3
Azul		AR	01	3
Acton		GB	ENG	3
Anapa		RU	38	3
Acerra		IT	04	3
Arles		FR	93	3
Auburn		US	AL	3
Ajodhya		IN	36	3
Ar Rastan		SY	11	3
Az Zulfi		SA	10	3
Alexandroúpoli	Alexandroupoli	GR	ESYE11	3
Aversa		IT	04	3
Adilcevaz		TR	13	3
Amalāpuram	Amalapuram	IN	02	3
Amora		PT	19	3
Albi		FR	76	3
Andradina		BR	27	3
Aïn Defla	Ain Defla	DZ	35	3
Asenovgrad		BG	51	3
Ar Riqqah		KW	04	3
Arcot		IN	25	3
At Tall al Kabīr	At Tall al Kabir	EG	07	3
Amparafaravola		MG	7670851	3
Arganda		ES	29	3
Agustín Codazzi	Agustin Codazzi	CO	10	3
Al Miqdādīyah	Al Miqdadiyah	IQ	10	3
Arjona		CO	35	3
Ābu Road	Abu Road	IN	24	3
Al Khābūrah	Al Khaburah	OM	11	3
Anju		KP	15	3
Albany		US	OR	3
Aonla		IN	36	3
Akademgorodok		RU	53	3
Al-Hamdaniya		IQ	15	3
Acireale		IT	15	3
Angoulême	Angouleme	FR	75	3
Aloha		US	OR	3
An Nabk		SY	08	3
Alexandria		RO	35	3
Arecibo		PR	013	3
Annecy		FR	84	3
Abū ‘Arīsh	Abu `Arish	SA	17	3
Apple Valley		US	MN	3
Al Balyanā	Al Balyana	EG	24	3
Aspen Hill		US	MD	3
Asadābād	Asadabad	AF	34	3
Ami		JP	14	3
Azrou		MA	48	3
Annaka		JP	10	3
Alaşehir	Alasehir	TR	45	3
Avellino		IT	04	3
Ash Shuhadā’	Ash Shuhada'	EG	09	3
Aliso Viejo		US	CA	3
Aībak	Aibak	AF	32	3
Alexandria		US	LA	3
Amahai		ID	28	3
Āzādshahr	Azadshahr	IR	37	3
Aného	Aneho	TG	24	3
Atraulī	Atrauli	IN	36	3
Alajuela		CR	01	3
Aznā	Azna	IR	23	3
Ar Rumaythah		IQ	03	3
Arras		FR	32	3
Amursk		RU	30	3
Acayucan		MX	30	3
Agrínio	Agrinio	GR	ESYE23	3
Al Jubayhah		JO	16	3
Albstadt		DE	01	3
Apizaco		MX	29	3
Azusa		US	CA	3
Alsdorf		DE	07	3
Altoona		US	PA	3
Atarra		IN	36	3
At Tāj	At Taj	LY	65	3
Al Ḩāmūl	Al Hamul	EG	21	3
Antelope		US	CA	3
Albury		AU	02	3
Argungu		NG	40	3
Ankeny		US	IA	3
Ain Sukhna		EG	15	3
Ayr		GB	SCT	3
Anzio		IT	07	3
Ashta		IN	35	3
Antequera		ES	51	3
Akçaabat	Akcaabat	TR	61	3
Aliağa	Aliaga	TR	35	2
Angol		CL	04	2
Aubagne		FR	93	2
Aksu		KZ	11	2
Al ‘Azīzīyah	Al `Aziziyah	IQ	16	2
Amberg		DE	02	2
Alzira		ES	60	2
Avtovo		RU	66	2
Akhtubinsk		RU	07	2
Aliwal North		ZA	05	2
Alcamo		IT	15	2
Angul		IN	21	2
Aracati		BR	06	2
Arsikere		IN	19	2
Al Badārī	Al Badari	EG	17	2
Ålesund	Alesund	NO	08	2
Alapayevsk		RU	71	2
Adrar		DZ	34	2
Ashton-under-Lyne		GB	ENG	2
Attleboro		US	MA	2
Ashburn		US	VA	2
Augusta		US	GA	2
Araranguá	Ararangua	BR	26	2
Arandas		MX	14	2
Alabel		PH	12	2
Adeje		ES	53	2
Ambatondrazaka		MG	7670851	2
Agnibilékrou	Agnibilekrou	CI	85	2
Awbārī	Awbari	LY	84	2
Al Qanāyāt	Al Qanayat	EG	14	2
Al Musayyib		IQ	06	2
Arlington		US	MA	2
Āstāneh-ye Ashrafīyeh	Astaneh-ye Ashrafiyeh	IR	08	2
Altadena		US	CA	2
Alt-Hohenschönhausen	Alt-Hohenschoenhausen	DE	16	2
Abashiri		JP	12	2
Alès	Ales	FR	76	2
Aş Şuwayrah	As Suwayrah	IQ	16	2
Amagi		JP	07	2
Alatyr’	Alatyr'	RU	16	2
Autlán de Navarro	Autlan de Navarro	MX	14	2
Athni		IN	19	2
Arkalyk		KZ	13	2
Artigas		UY	01	2
Ārvi	Arvi	IN	16	2
Ascoli Piceno		IT	10	2
Asahi		JP	04	2
Álimos	Alimos	GR	ESYE31	2
Altrincham		GB	ENG	2
Apopka		US	FL	2
Amancio		CU	13	2
Auxerre		FR	27	2
Amparo		BR	27	2
Altamonte Springs		US	FL	2
Abū al Maţāmīr	Abu al Matamir	EG	03	2
Axum		ET	53	2
Angat		PH	03	2
Aprilia		IT	07	2
Alcantarilla		ES	31	2
Al Quşayr	Al Qusayr	SY	11	2
Annandale		US	VA	2
Atami		JP	37	2
Anglet		FR	75	2
Acacías	Acacias	CO	19	2
Azazga		DZ	14	2
Ambāh	Ambah	IN	35	2
Apsheronsk		RU	38	2
Akivīdu	Akividu	IN	02	2
Apia		WS	10	2
Artur Nogueira		BR	27	2
Ad Dilinjāt	Ad Dilinjat	EG	03	2
Alta Gracia		AR	05	2
Aurich		DE	06	2
Arawa		PG	07	2
Ahmadpur		IN	16	2
Altagracia de Orituco		VE	12	2
Az Zarqā	Az Zarqa	EG	20	2
Andover		GB	ENG	2
Alekseyevka		RU	09	2
Afşin	Afsin	TR	46	2
Atlantic City		US	NJ	2
Abadan		TM	01	2
Ağdam	Agdam	AZ	03	2
Asamankese		GH	05	2
Antigua Guatemala		GT	16	2
Akalkot		IN	16	2
Aroor		IN	13	2
Amudālavalasa	Amudalavalasa	IN	02	2
Andújar	Andujar	ES	51	2
Āstārā	Astara	IR	08	2
Aland		IN	19	2
Al Manqaf		KW	04	2
Aksay		RU	61	2
Aweil		SS	05	2
Araripina		BR	30	2
Altenburg		DE	15	2
Alderetes		AR	24	2
Annapolis		US	MD	2
Aş Şaff	As Saff	EG	08	2
Al Bīrah	Al Birah	PS	WE	2
Ahaus		DE	07	2
Arnold		GB	ENG	2
Al Bayḑā’	Al Bayda'	YE	20	2
Avezzano		IT	01	2
Aboisso		CI	89	2
Ayabe		JP	22	2
Apex		US	NC	2
Al Wāsiţah	Al Wasitah	EG	04	2
Arrah		CI	81	2
Ataq		YE	05	2
Alfortville		FR	11	2
Aïn el Bya	Ain el Bya	DZ	09	2
Abingdon		GB	ENG	2
Azemmour		MA	51	2
Addison		US	IL	2
Akbarpur		IN	36	2
Anekal		IN	19	2
Arris		DZ	03	2
Al Bājūr	Al Bajur	EG	09	2
Attingal		IN	13	2
Ar Rābiyah	Ar Rabiyah	KW	02	2
Arys		KZ	10	2
Arucas		ES	53	2
Al Qunayţirah	Al Qunaytirah	SY	03	2
Açu	Acu	BR	22	2
An Nuşayrāt	An Nusayrat	PS	GZ	2
Agua Dulce		MX	30	2
Amboasary		MG	7670910	2
Akoupé	Akoupe	CI	82	2
Ayteke Bi		KZ	14	2
Ameca		MX	14	2
Apache Junction		US	AZ	2
Avdiyivka		UA	05	2
Atambua		ID	18	2
Aventura		US	FL	2
Abovyan		AM	05	2
Arantāngi	Arantangi	IN	25	2
Abucay		PH	03	2
Ashta		IN	16	2
Abay		KZ	12	2
Airdrie		GB	SCT	2
Ad Dilam		SA	10	2
Accrington		GB	ENG	2
Aquidauana		BR	11	2
Ayvalık	Ayvalik	TR	10	2
Aketi		CD	09	2
Akçakoca	Akcakoca	TR	93	2
Atmakūr	Atmakur	IN	02	2
Alhaurín de la Torre	Alhaurin de la Torre	ES	51	2
Aïn Arnat	Ain Arnat	DZ	12	2
Arima		TT	01	2
Agdzhabedy		AZ	02	2
Al Burayj		PS	GZ	2
Arzano		IT	04	2
Azogues		EC	04	2
Aqsay		KZ	07	2
Atbasar		KZ	03	2
Al ‘Ayyāţ	Al `Ayyat	EG	08	2
Amnat Charoen		TH	77	2
Aurillac		FR	84	2
Ajā	Aja	EG	01	2
Abinsk		RU	38	2
Al Ibrāhīmīyah	Al Ibrahimiyah	EG	14	2
Asipovichy		BY	06	2
Águilas	Aguilas	ES	31	2
Agar		IN	35	2
Adrano		IT	15	2
Angamāli	Angamali	IN	13	2
Agen		FR	75	2
Américo Brasiliense	Americo Brasiliense	BR	27	2
Alghero		IT	14	2
Aoji-ri		KP	17	2
Aparecida		BR	27	2
Ágioi Anárgyroi	Agioi Anargyroi	GR	ESYE31	2
Ausa		IN	16	2
Antalaha		MG	7670846	2
Ahuachapán	Ahuachapan	SV	01	2
Argyroúpoli	Argyroupoli	GR	ESYE31	2
Aliaga		PH	03	2
Almada		PT	19	2
Além Paraíba	Alem Paraiba	BR	15	2
Antiguo Cuscatlán	Antiguo Cuscatlan	SV	05	2
Artëmovskiy	Artemovskiy	RU	71	2
Albany		AU	08	2
Alīpur	Alipur	PK	04	2
Almendralejo		ES	57	2
Áno Liósia	Ano Liosia	GR	ESYE31	2
As Sūkī	As Suki	SD	58	2
Ayagoz		KZ	15	2
Āmli	Amli	IN	06	2
Arcos		BR	15	2
Alcabideche		PT	14	2
Anūpgarh	Anupgarh	IN	24	2
Atamyrat		TM	04	2
Ancaster		CA	08	2
Aparri		PH	02	2
Āreka	Areka	ET	54	2
Auburn		AU	02	2
Aral		KZ	14	2
Asha		RU	13	2
Az Zintān	Az Zintan	LY	80	2
Aranda de Duero		ES	55	2
Aberdare		GB	WLS	2
Azuqueca de Henares		ES	54	2
Al Abyār	Al Abyar	LY	66	2
Agrigento		IT	15	2
Aïn Kercha	Ain Kercha	DZ	29	2
Aguilares		AR	24	2
Almora		IN	39	2
Al ‘Ulá	Al 'Ula	SA	05	2
Aioi		JP	13	2
Aosta		IT	19	2
Akçakale	Akcakale	TR	63	2
Antsohimbondrona		MG	7670842	2
Ambasamudram		IN	25	2
Anbyŏn-ŭp	Anbyon-up	KP	09	2
Ansbach		DE	02	2
Adelanto		US	CA	2
Al Qaryatayn		SY	11	2
Amecameca		MX	15	2
Allanridge		ZA	03	2
Angri		IT	04	2
Agogo		GH	02	2
Alaminos		PH	40	2
Ajka		HU	23	2
Athis-Mons		FR	11	2
Arcos de la Frontera		ES	51	2
Adamantina		BR	27	2
Arendal		NO	02	2
Agudos		BR	27	2
Alençon	Alencon	FR	28	2
Āsbe Teferī	Asbe Teferi	ET	51	2
Augusta		IT	15	2
Alcázar de San Juan	Alcazar de San Juan	ES	54	2
Abbiategrasso		IT	09	2
Ambanja		MG	7670842	2
Andover		US	MN	2
Anta		IN	24	2
Āsosa	Asosa	ET	47	2
Alamogordo		US	NM	2
Alaquàs	Alaquas	ES	60	2
Ambositra		MG	7670904	2
Alabaster		US	AL	2
Alushta		UA	11	2
Asprópyrgos	Aspropyrgos	GR	ESYE31	2
Arrentela		PT	19	2
Ahrensburg		DE	10	2
Ashburton		NZ	E9	2
Ar Rudayyif		TN	30	2
Algonquin		US	IL	2
Achim		DE	06	2
Annino		RU	47	2
Amin’yevo	Amin'yevo	RU	48	2
Annino		RU	48	2
Atamaría	Atamaria	ES	31	2
Albertslund		DK	17	2
Amla		IN	35	1
Araklı	Arakli	TR	61	1
Aldaia		ES	60	1
Affery		CI	82	1
Ambad		IN	16	1
Aringay		PH	01	1
Arteixo		ES	58	1
Augustów	Augustow	PL	81	1
Anloga		GH	08	1
Austintown		US	OH	1
Adūr	Adur	IN	13	1
Andernach		DE	08	1
