Hong Kong		HK	HCW	467
Hengchun		TW	04	2
Humaitá	Humaita	BR	04	2
Hayama		JP	19	2
Houilles		FR	11	2
Hailākāndi	Hailakandi	IN	03	2
Heusden		BE	VLG	2
Hellín	Hellin	ES	54	2
Ḩadīthah	Hadithah	IQ	01	2
Hatta		IN	35	2
Hillerød	Hillerod	DK	17	2
Huatabampo		MX	26	2
Heswall		GB	ENG	2
Helchteren		BE	VLG	2
Houthalen		BE	VLG	2
Highland Park		US	IL	1
Hucknall		GB	ENG	1
Haywards Heath		GB	ENG	1
Hamar		NO	06	1
Haan		DE	07	1
Huatusco de Chicuellar		MX	30	1
Huixtla		MX	05	1
Hajīn	Hajin	SY	07	1
Huşi	Husi	RO	38	1
Hobart		US	IN	1
Harpenden		GB	ENG	1
Heesch		NL	06	1
Horst		NL	03	1
Henderson		US	KY	1
Howick		ZA	02	1
Hammamet		DZ	33	1
Hilliard		US	OH	1
Hole Narsipur		IN	19	1
Helena		US	MT	1
Honda		CO	28	1
Hiratachō	Hiratacho	JP	36	1
Heywood		GB	ENG	1
Hōjō	Hojo	JP	05	1
Hisuā	Hisua	IN	34	1
Hovd		MN	15	1
Hatfield		GB	ENG	1
Hiji		JP	30	1
Hà Tĩnh	Ha Tinh	VN	52	1
Heiligenhaus		DE	07	1
Hadjout		DZ	55	1
Harrison		US	NY	1
Hamminkeln		DE	07	1
Hīrākud	Hirakud	IN	21	1
Holbrook		US	NY	1
Hakenfelde		DE	16	1
Hafnarfjörður	Hafnarfjoerdur	IS	39	1
Harker Heights		US	TX	1
Hualmay		PE	15	1
Hāngal	Hangal	IN	19	1
Huimanguillo		MX	27	1
Holladay		US	UT	1
Hadgāon	Hadgaon	IN	16	1
Hodonín	Hodonin	CZ	78	1
Hazro		PK	04	1
Haqqulobod		UZ	06	1
Halvad		IN	09	1
Husainābād	Husainabad	IN	38	1
Hennigsdorf		DE	11	1
Henstedt-Ulzburg		DE	10	1
Horn Lake		US	MS	1
Harelbeke		BE	VLG	1
Horb am Neckar		DE	01	1
Herentals		BE	VLG	1
Hertford		GB	ENG	1
Hazelwood		US	MO	1
Herdecke		DE	07	1
Heemstede		NL	07	1
Helmstedt		DE	06	1
Hawarden		GB	WLS	1
Hornchurch		GB	ENG	1
Heppenheim an der Bergstrasse		DE	05	1
Hŭkkyo-ri	Hukkyo-ri	KP	07	1
Hénin-Beaumont	Henin-Beaumont	FR	32	1
Hazleton		US	PA	1
Hadagalli		IN	19	1
Harvey		US	IL	1
Homewood		US	AL	1
Hermanus		ZA	11	1
Herblay		FR	11	1
Himamaylan		PH	06	1
Hannoversch Münden	Hannoversch Muenden	DE	06	1
Hattersheim		DE	05	1
Hoensbroek		NL	05	1
Hastings		US	NE	1
Haysyn		UA	23	1
Hosdurga		IN	19	1
Holly Springs		US	NC	1
Hjørring	Hjorring	DK	19	1
Holbæk	Holbaek	DK	20	1
Hakui		JP	15	1
Hobaramachi		JP	08	1
Havlíčkův Brod	Havlickuv Brod	CZ	80	1
Huntley		US	IL	1
Hérouville-Saint-Clair	Herouville-Saint-Clair	FR	28	1
Homer Glen		US	IL	1
Harsewinkel		DE	07	1
Hindley		GB	ENG	1
Haaksbergen		NL	15	1
Hastināpur	Hastinapur	IN	36	1
Hercules		US	CA	1
Hisor		TJ	RR	1
Holt		US	MI	1
Hlohovec		SK	07	1
Haenam		KR	16	1
Hunt Valley		US	MD	1
Hwacheon		KR	06	1
Hampton Park		AU	07	1
Highland		US	IN	1
Hajdúszoboszló	Hajduszoboszlo	HU	10	1
Ḩalfāyā	Halfaya	SY	10	1
Herzogenaurach		DE	02	1
Hazebrouck		FR	32	1
Herndon		US	VA	1
Heanor		GB	ENG	1
Hacıqabul	Haciqabul	AZ	23	1
Hanwella Ihala		LK	36	1
Hamme		BE	VLG	1
Hennenman		ZA	03	1
Hinjilikatu		IN	21	1
Hino		JP	35	1
Hatvan		HU	11	1
Hell-Ville		MG	7670842	1
Hadyach		UA	18	1
Hopewell		US	VA	1
Haren		DE	06	1
Hirado		JP	27	1
Haverhill		GB	ENG	1
Hamtramck		US	MI	1
Holiday		US	FL	1
Hunucmá	Hunucma	MX	31	1
Hingorja		PK	05	1
Hudson		US	OH	1
Hastings		US	MN	1
Hajnówka	Hajnowka	PL	81	1
Hillside		US	NJ	1
Hagere Maryam		ET	51	1
Heavitree		GB	ENG	1
Hoxtolgay		CN	13	1
Hlybokaye		BY	07	1
Halden		NO	13	1
Heredia		CR	04	1
Hellevoetsluis		NL	11	1
Huetamo de Núñez	Huetamo de Nunez	MX	16	1
Hohen Neuendorf		DE	11	1
Herriman		US	UT	1
Huamachuco		PE	13	1
Huejotzingo		MX	21	1
Hialeah Gardens		US	FL	1
Hamina		FI	08	1
Heniches’k	Heniches'k	UA	08	1
Hadley Wood		GB	ENG	1
Haliyal		IN	19	1
Heroica Alvarado		MX	30	1
Havza		TR	55	1
Huskvarna		SE	08	1
Hoogezand		NL	04	1
Horley		GB	ENG	1
Hawthorn South		AU	07	1
Hacılar	Hacilar	TR	38	1
Herborn		DE	05	1
Hoeyang		KP	09	1
Ḩalḩūl	Halhul	PS	WE	1
Halle		DE	07	1
Huntingdon		GB	ENG	1
Hendrik-Ido-Ambacht		NL	11	1
Holzminden		DE	06	1
Hauppauge		US	NY	1
Heinola		FI	07	1
Husum		DE	10	1
Haderslev		DK	21	1
Hukeri		IN	19	1
Haßloch	Hassloch	DE	08	1
Hiddenhausen		DE	07	1
Havelock		US	NC	1
Huaura		PE	15	1
Hockenheim		DE	01	1
Heide		DE	10	1
Harwich		GB	ENG	1
Haines City		US	FL	1
Hays		US	KS	1
Heiloo		NL	07	1
Harūr	Harur	IN	25	1
Hollola		FI	07	1
Humacao		PR	069	1
Harvey		US	LA	1
Haldensleben I		DE	14	1
Hedaru		TZ	06	1
Haiger		DE	05	1
Halluin		FR	32	1
Hessisch Oldendorf		DE	06	1
Hadim		TR	71	1
Hythe		GB	ENG	1
Hammond		US	LA	1
Heusweiler		DE	09	1
Hakha		MM	02	1
Huy		BE	WAL	1
Hayesville		US	OR	1
Hörstel	Hoerstel	DE	07	1
Hornsby		AU	02	1
Hayrabolu		TR	59	1
Holtsville		US	NY	1
Hem		FR	32	1
Hailsham		GB	ENG	1
Hranice		CZ	84	1
Huntsville		CA	08	1
Herceg-Novi		ME	08	1
Hermosa Beach		US	CA	1
Hazel Dell		US	WA	1
Harstad		NO	18	1
Hechingen		DE	01	1
Horsforth		GB	ENG	1
Homewood		US	IL	1
Hernani		ES	59	1
Hamīrpur	Hamirpur	IN	11	1
Haslett		US	MI	1
Herent		BE	VLG	1
Haren		NL	04	1
Hungund		IN	19	1
Hacı Zeynalabdin	Haci Zeynalabdin	AZ	54	1
Heusenstamm		DE	05	1
Hallein		AT	05	1
Hook		GB	ENG	1
Hārij	Harij	IN	09	1
Hūn	Hun	LY	64	1
Hebburn		GB	ENG	1
Hawthorne		US	NJ	1
Horwich		GB	ENG	1
Haldaur		IN	36	1
Huanta		PE	05	1
Hrubieszów	Hrubieszow	PL	75	1
Hinche		HT	07	1
Half Way Tree		JM	08	1
Hoogstraten		BE	VLG	1
Haibara-akanedai		JP	28	1
Hemmingen		DE	06	1
Heerde		NL	03	1
Hillegom		NL	11	1
Honāvar	Honavar	IN	19	1
Hadleigh		GB	ENG	1
Humanes de Madrid		ES	29	1
Herval		BR	23	1
Huntington		US	NY	1
Hajdúnánás	Hajdunanas	HU	10	1
Handlová	Handlova	SK	04	1
Hampton		GB	ENG	1
Hanahan		US	SC	1
Hedge End		GB	ENG	1
Hang Dong		TH	02	1
Hannibal		US	MO	1
Handiā	Handia	IN	36	1
Holzwickede		DE	07	1
Harpālpur	Harpalpur	IN	35	1
Horten		NO	20	1
Halver		DE	07	1
Huércal-Overa	Huercal-Overa	ES	51	1
Hazorasp		UZ	05	1
Hopkins		US	MN	1
Heiligensee		DE	16	1
Haar		DE	02	1
Hyattsville		US	MD	1
Heroica Ciudad de Tlaxiaco		MX	20	1
Hopa		TR	08	1
Howard		US	WI	1
Huilango		MX	15	1
Huntington		US	IN	1
Hummelsbüttel	Hummelsbuettel	DE	04	1
Howli		IN	03	1
Haydock		GB	ENG	1
Haukipudas		FI	17	1
Heilbad Heiligenstadt		DE	15	1
Haaltert		BE	VLG	1
Horodok		UA	09	1
Horasan		TR	25	1
Hässleholm	Hassleholm	SE	27	1
Hochheim am Main		DE	05	1
Holden		US	MA	1
Härnösand	Haernoesand	SE	24	1
Hilvan		TR	63	1
Hanover		US	MA	1
Hînceşti	Hincesti	MD	77	1
Hashtrūd	Hashtrud	IR	33	1
Hayling Island		GB	ENG	1
Hinsdale		US	IL	1
Helena		US	AL	1
Heidenau		DE	13	1
Honnāli	Honnali	IN	19	1
Hermiston		US	OR	1
High Blantyre		GB	SCT	1
Harsūd	Harsud	IN	35	1
Horizon City		US	TX	1
Hirekerūr	Hirekerur	IN	19	1
Huai Yot		TH	65	1
Hille		DE	07	1
Herve		BE	WAL	1
Hohenstein-Ernstthal		DE	13	1
Herzele		BE	VLG	1
Harringay		GB	ENG	1
Hillcrest Heights		US	MD	1
Hilchenbach		DE	07	1
Hofgeismar		DE	05	1
Hulyaypole		UA	26	1
Hazel Park		US	MI	1
Hückeswagen	Hueckeswagen	DE	07	1
Hibbing		US	MN	1
Hillside		AU	07	1
Hünfeld	Huenfeld	DE	05	1
Hochfeld		DE	07	1
Hopatcong Hills		US	NJ	1
Hermitage		US	PA	1
Halstenbek		DE	10	1
Huarmey		PE	02	1
Harlingen		NL	02	1
Hermsdorf		DE	16	1
Hueytown		US	AL	1
Hola Prystan’	Hola Prystan'	UA	08	1
Hoge Vucht		NL	06	1
Horodok		UA	15	1
Hājo	Hajo	IN	03	1
Horgen		CH	ZH	1
Hövelhof	Hovelhof	DE	07	1
Hettstedt		DE	14	1
Harenkarspel		NL	07	1
Hendrina		ZA	07	1
Hoyland Nether		GB	ENG	1
Hybla Valley		US	VA	1
Highland Springs		US	VA	1
Haubourdin		FR	32	1
Harnoli		PK	04	1
Hale		GB	ENG	1
Hude		DE	06	1
Hautmont		FR	32	1
Hayvoron		UA	10	1
Highland		US	UT	1
Hayange		FR	44	1
Huanuni		BO	05	1
Holalkere		IN	19	1
Herisau		CH	AR	1
Hereford		US	TX	1
Henderson		US	NC	1
Hale		GB	ENG	1
Hizan		TR	13	1
Ham Lake		US	MN	1
Hanover		US	PA	1
Hazel Grove		GB	ENG	1
Hidalgo		MX	19	1
Hats’avan	Hats'avan	AM	08	1
Haslingden		GB	ENG	1
Holzkirchen		DE	02	1
Hope Mills		US	NC	1
Highview		US	KY	1
Hopatcong		US	NJ	1
Hindoria		IN	35	1
Humble		US	TX	1
Hilvarenbeek		NL	06	1
Humboldtkolonie		DE	07	1
Hatton		LK	29	1
Horodyshche		UA	01	1
Highland Village		US	TX	1
